food_code,serving_size_str,serving_size_unit,serving_size_value,product_weight_str,product_weight_unit,product_weight_value
D402-145000000-0001,100ml,ml,100.0,230.3ml,ml,230.3
D402-146000000-0001,100ml,ml,100.0,380.6ml,ml,380.6
D402-147000000-0001,100ml,ml,100.0,170ml,ml,170.0
D402-149000000-0001,100ml,ml,100.0,207ml,ml,207.0
D403-141000000-0001,100ml,ml,100.0,800ml,ml,800.0
D403-141500000-0001,100ml,ml,100.0,885ml,ml,885.0
D403-142000000-0001,100ml,ml,100.0,894ml,ml,894.0
D403-142350000-0001,100ml,ml,100.0,800ml,ml,800.0
D403-144180000-0001,100ml,ml,100.0,780ml,ml,780.0
D403-145040000-0001,100ml,ml,100.0,600ml,ml,600.0
D403-145090000-0001,100ml,ml,100.0,600ml,ml,600.0
D403-145321100-0001,100ml,ml,100.0,600ml,ml,600.0
D403-145540000-0001,100ml,ml,100.0,600ml,ml,600.0
D403-146010000-0001,100ml,ml,100.0,600ml,ml,600.0
D403-146060000-0001,100ml,ml,100.0,600ml,ml,600.0
D403-148000000-0001,100ml,ml,100.0,590ml,ml,590.0
D403-148050000-0001,100ml,ml,100.0,760ml,ml,760.0
D403-148090000-0001,100ml,ml,100.0,642ml,ml,642.0
D401-075480000-0001,100ml,ml,100.0,900ml,ml,900.0
D401-076000000-0001,100ml,ml,100.0,450ml,ml,450.0
D401-077000000-0001,100ml,ml,100.0,250ml,ml,250.0
D401-078000000-0001,100ml,ml,100.0,300ml,ml,300.0
D401-079000000-0001,100ml,ml,100.0,700ml,ml,700.0
D401-080000000-0001,100ml,ml,100.0,500ml,ml,500.0
D401-081000000-0001,100ml,ml,100.0,500ml,ml,500.0
D401-083000000-0001,100ml,ml,100.0,250ml,ml,250.0
D401-084000000-0001,100ml,ml,100.0,572ml,ml,572.0
D401-085000000-0001,100ml,ml,100.0,250ml,ml,250.0
D402-077000000-0001,100ml,ml,100.0,150ml,ml,150.0
D402-106000000-0001,100ml,ml,100.0,140ml,ml,140.0
D402-120000000-0001,100ml,ml,100.0,210ml,ml,210.0
D402-123450000-0001,100ml,ml,100.0,210ml,ml,210.0
D402-123460000-0001,100ml,ml,100.0,366ml,ml,366.0
D402-125000000-0001,100ml,ml,100.0,104ml,ml,104.0
D402-143000000-0001,100ml,ml,100.0,380ml,ml,380.0
D402-144000000-0001,100ml,ml,100.0,250ml,ml,250.0
D406-323000000-0001,100ml,ml,100.0,760ml,ml,760.0
D401-051450000-0001,100ml,ml,100.0,572ml,ml,572.0
D401-052000000-0001,100ml,ml,100.0,300ml,ml,300.0
D401-054000000-0001,100ml,ml,100.0,300ml,ml,300.0
D401-055000000-0001,100ml,ml,100.0,250ml,ml,250.0
D401-057000000-0001,100ml,ml,100.0,809ml,ml,809.0
D401-058000000-0001,100ml,ml,100.0,500ml,ml,500.0
D401-059200000-0001,100ml,ml,100.0,320ml,ml,320.0
D401-060000000-0001,100ml,ml,100.0,900ml,ml,900.0
D401-061000000-0001,100ml,ml,100.0,900ml,ml,900.0
D401-062000000-0001,100ml,ml,100.0,572ml,ml,572.0
D401-063000000-0001,100ml,ml,100.0,809ml,ml,809.0
D401-064000000-0001,100ml,ml,100.0,400ml,ml,400.0
D401-065000000-0001,100ml,ml,100.0,245ml,ml,245.0
D401-066000000-0001,100ml,ml,100.0,246.2ml,ml,246.2
D401-068000000-0001,100ml,ml,100.0,572ml,ml,572.0
D401-069000000-0001,100ml,ml,100.0,300ml,ml,300.0
D401-070000000-0001,100ml,ml,100.0,809ml,ml,809.0
D401-073000000-0001,100ml,ml,100.0,572ml,ml,572.0
D401-074000000-0001,100ml,ml,100.0,600ml,ml,600.0
D401-032640000-0001,100ml,ml,100.0,300ml,ml,300.0
D401-033000000-0001,100ml,ml,100.0,572ml,ml,572.0
D401-034000000-0001,100ml,ml,100.0,550ml,ml,550.0
D401-035000000-0001,100ml,ml,100.0,291ml,ml,291.0
D401-035230000-0001,100ml,ml,100.0,320ml,ml,320.0
D401-035450000-0001,100ml,ml,100.0,300ml,ml,300.0
D401-036000000-0001,100ml,ml,100.0,520ml,ml,520.0
D401-037000000-0001,100ml,ml,100.0,1347m,m,1347.0
D401-038000000-0001,100ml,ml,100.0,300ml,ml,300.0
D401-040000000-0001,100ml,ml,100.0,580ml,ml,580.0
D401-041350000-0001,100ml,ml,100.0,600ml,ml,600.0
D401-043000000-0001,100ml,ml,100.0,327ml,ml,327.0
D401-044140000-0001,100ml,ml,100.0,600ml,ml,600.0
D401-044280000-0001,100ml,ml,100.0,572ml,ml,572.0
D401-044480000-0001,100ml,ml,100.0,650ml,ml,650.0
D401-046000000-0001,100ml,ml,100.0,830ml,ml,830.0
D401-046000000-0002,100ml,ml,100.0,830ml,ml,830.0
D401-047140000-0001,100ml,ml,100.0,572ml,ml,572.0
D401-050000000-0001,100ml,ml,100.0,300ml,ml,300.0
D401-017450000-0001,100ml,ml,100.0,510ml,ml,510.0
D401-017480000-0001,100ml,ml,100.0,300ml,ml,300.0
D401-017550000-0001,100ml,ml,100.0,500ml,ml,500.0
D401-017590000-0001,100ml,ml,100.0,400ml,ml,400.0
D401-018000000-0001,100ml,ml,100.0,530ml,ml,530.0
D401-018213500-0001,100ml,ml,100.0,580ml,ml,580.0
D401-018453500-0001,100ml,ml,100.0,600ml,ml,600.0
D401-019000000-0001,100ml,ml,100.0,94.5m,m,94.5
D401-021000000-0001,100ml,ml,100.0,350ml,ml,350.0
D401-023000000-0001,100ml,ml,100.0,500ml,ml,500.0
D401-026000000-0001,100ml,ml,100.0,350ml,ml,350.0
D401-027000000-0001,100ml,ml,100.0,276ml,ml,276.0
D401-028000000-0001,100ml,ml,100.0,450ml,ml,450.0
D401-029350000-0001,100ml,ml,100.0,750ml,ml,750.0
D401-030000000-0001,100ml,ml,100.0,270ml,ml,270.0
D401-032000000-0001,100ml,ml,100.0,250ml,ml,250.0
D401-032600000-0001,100ml,ml,100.0,300ml,ml,300.0
D401-032606900-0001,100ml,ml,100.0,300ml,ml,300.0
D401-032620000-0001,100ml,ml,100.0,300ml,ml,300.0
D401-007450000-0001,100ml,ml,100.0,400ml,ml,400.0
D401-007450400-0001,100ml,ml,100.0,400ml,ml,400.0
D401-007455900-0001,100ml,ml,100.0,400ml,ml,400.0
D401-007480000-0001,100ml,ml,100.0,400ml,ml,400.0
D401-007490000-0001,100ml,ml,100.0,400ml,ml,400.0
D401-007560000-0001,100ml,ml,100.0,400ml,ml,400.0
D401-007610000-0001,100ml,ml,100.0,392ml,ml,392.0
D401-008350000-0001,100ml,ml,100.0,510ml,ml,510.0
D401-009000000-0001,100ml,ml,100.0,600ml,ml,600.0
D401-011000000-0001,100ml,ml,100.0,575ml,ml,575.0
D401-011350000-0001,100ml,ml,100.0,550ml,ml,550.0
D401-015000000-0001,100ml,ml,100.0,600ml,ml,600.0
D401-016000000-0001,100ml,ml,100.0,300ml,ml,300.0
D401-017030000-0001,100ml,ml,100.0,300ml,ml,300.0
D401-017071500-0001,100ml,ml,100.0,438ml,ml,438.0
D401-017140000-0001,100ml,ml,100.0,461ml,ml,461.0
D401-017234200-0001,100ml,ml,100.0,510ml,ml,510.0
D401-017260000-0001,100ml,ml,100.0,480ml,ml,480.0
D401-017280000-0001,100ml,ml,100.0,442ml,ml,442.0
D320-748120000-0001,100g,g,100.0,100g,g,100.0
D320-748130000-0001,100g,g,100.0,100g,g,100.0
D324-128012800-0001,100g,g,100.0,100g,g,100.0
D324-756000000-0001,100g,g,100.0,100g,g,100.0
D324-756020000-0001,100g,g,100.0,100g,g,100.0
D327-758010000-0001,100g,g,100.0,100g,g,100.0
D327-758011000-0001,100g,g,100.0,100g,g,100.0
D327-758015600-0001,100g,g,100.0,100g,g,100.0
D327-759000000-0001,100g,g,100.0,100g,g,100.0
D401-001000000-0001,100ml,ml,100.0,300ml,ml,300.0
D401-003000000-0001,100ml,ml,100.0,500ml,ml,500.0
D401-006000000-0001,100ml,ml,100.0,254.9ml,ml,254.9
D401-007030000-0001,100ml,ml,100.0,400ml,ml,400.0
D401-007070000-0001,100ml,ml,100.0,400ml,ml,400.0
D401-007090000-0001,100ml,ml,100.0,400ml,ml,400.0
D401-007120000-0001,100ml,ml,100.0,400ml,ml,400.0
D401-007190400-0001,100ml,ml,100.0,400ml,ml,400.0
D401-007270000-0001,100ml,ml,100.0,400ml,ml,400.0
D401-007280000-0001,100ml,ml,100.0,400ml,ml,400.0
D320-716042200-0001,100g,g,100.0,100g,g,100.0
D320-716071300-0001,100g,g,100.0,100g,g,100.0
D320-716174100-0001,100g,g,100.0,100g,g,100.0
D320-716180000-0001,100g,g,100.0,100g,g,100.0
D320-723010000-0001,100g,g,100.0,100g,g,100.0
D320-723050000-0001,100g,g,100.0,100g,g,100.0
D320-725000000-0001,100g,g,100.0,100g,g,100.0
D320-731060000-0001,100g,g,100.0,100g,g,100.0
D320-731090000-0001,100g,g,100.0,100g,g,100.0
D320-731160000-0001,100g,g,100.0,100g,g,100.0
D320-731190000-0001,100g,g,100.0,100g,g,100.0
D320-738000000-0001,100g,g,100.0,150g,g,150.0
D320-741142904-0001,100g,g,100.0,100g,g,100.0
D320-741143000-0001,100g,g,100.0,100g,g,100.0
D320-741150000-0001,100g,g,100.0,100g,g,100.0
D320-748020000-0001,100g,g,100.0,100g,g,100.0
D320-748080000-0001,100g,g,100.0,100g,g,100.0
D320-748100000-0001,100g,g,100.0,100g,g,100.0
D320-748110000-0001,100g,g,100.0,100g,g,100.0
D316-686020000-0001,100g,g,100.0,100g,g,100.0
D316-688020000-0001,100g,g,100.0,100g,g,100.0
D316-691020000-0001,100g,g,100.0,100g,g,100.0
D317-692000000-0001,100g,g,100.0,100g,g,100.0
D317-698000000-0001,100g,g,100.0,100g,g,100.0
D317-698010000-0001,100g,g,100.0,50g,g,50.0
D317-698020000-0001,100g,g,100.0,50g,g,50.0
D317-699000000-0001,100g,g,100.0,30g,g,30.0
D317-700000000-0001,100g,g,100.0,30g,g,30.0
D317-704000000-0001,100g,g,100.0,100g,g,100.0
D318-705000000-0001,100g,g,100.0,768g,g,768.0
D318-707000000-0001,100g,g,100.0,386g,g,386.0
D319-708020000-0001,100ml,ml,100.0,100g,g,100.0
D319-709043900-0001,100g,g,100.0,100g,g,100.0
D319-709053900-0001,100g,g,100.0,100g,g,100.0
D319-711030000-0001,100g,g,100.0,100g,g,100.0
D319-714010000-0001,100ml,ml,100.0,100g,g,100.0
D320-716030000-0001,100g,g,100.0,100g,g,100.0
D315-668000000-0001,100g,g,100.0,100g,g,100.0
D315-670000000-0001,100g,g,100.0,100g,g,100.0
D315-670010000-0001,100g,g,100.0,100g,g,100.0
D315-670030000-0001,100g,g,100.0,100g,g,100.0
